,title,points,year,prix_estim
0,Domaine des Croix 2016  Corton Grèves,94,2016,36.572
1,Domaine des Croix 2017 La Vigne au Saint  (Corton),94,2017,36.605000000000004
2,Domaine des Croix 2016  Beaune,90,2016,34.495000000000005
3,Domaine des Croix 2019  Beaune,90,2019,37.096
4,Domaine des Croix 2017 Les Grèves Premier Cru  (Beaune),94,2017,36.605000000000004
5,Domaine des Croix 2015  Beaune,90,2015,40.512
6,Domaine des Croix 2018 Les Cent-Vignes Premier Cru  (Beaune),93,2018,39.915
7,Domaine des Croix 2016 Grèves  (Corton),95,2016,50.792
8,Domaine des Croix 2018 La Vigne au Saint  (Corton),95,2018,37.162
9,Domaine des Croix 2019 Bressandes Premier Cru  (Beaune),94,2019,35.525999999999996
10,Domaine des Croix 2018 Les Bressandes Premier Cru  (Beaune),93,2018,39.915
11,Domaine des Croix 2014 Pertuisots Premier Cru  (Beaune),92,2014,35.796
12,Domaine des Croix 2014  Corton-Charlemagne,95,2014,50.459
13,Domaine des Croix 2018 Les Peuillets Premier Cru  (Savigny-lès-Beaune),92,2018,38.086
